P8010116.482933
GADANKI 01/01/1980 16:47:29 01/01/1980 16:48:29 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.6572	131.8208	  9.9380	118.1833	  1.8084
 19.6485	131.3583	  9.9706	117.9917	  1.8086
 19.6706	131.0917	  9.9404	118.6333	  1.8083
 19.6537	131.3375	  9.9438	118.8292	  1.8089
 19.6558	131.1083	  9.9532	119.0250	  1.8084
 19.6354	131.0208	  9.9441	118.0167	  1.8085
 19.6354	130.9875	  9.9690	118.4708	  1.8085
 19.6669	130.8125	  9.9491	118.5792	  1.8091
 19.6614	130.9833	  9.9433	117.8417	  1.8090
 19.6512	131.0042	  9.9624	118.3083	  1.8089
 19.6720	131.3083	  9.9549	118.4583	  1.8086
 19.6802	131.4833	  9.9550	118.7875	  1.8084
 19.6691	131.0833	  9.9441	117.8833	  1.8086
 19.6616	131.1208	  9.9663	118.2625	  1.8081
 19.6575	131.0417	  9.9616	117.9583	  1.8084
 19.6466	131.2125	  9.9441	118.8958	  1.8084
 19.6622	131.4458	  9.9534	118.2792	  1.8083
 19.6502	130.8500	  9.9466	118.4375	  1.8088
 19.6516	131.6500	  9.9641	118.0625	  1.8084
 19.6488	131.0708	  9.9607	118.2417	  1.8083
 19.6518	131.2708	  9.9506	118.7250	  1.8085
 19.6498	131.1333	  9.9667	118.5417	  1.8082
 19.6653	131.2958	  9.9498	118.3208	  1.8081
 19.6656	131.3792	  9.9809	118.5167	  1.8083
 19.6704	131.0167	  9.9595	118.7292	  1.8083
 19.6547	131.2333	  9.9526	118.6792	  1.8083
 19.6673	131.1250	  9.9460	118.3083	  1.8093
 19.6533	131.2250	  9.9566	118.6375	  1.8085
 19.6383	131.6458	  9.9461	118.2500	  1.8086
 19.6463	131.3250	  9.9487	119.0958	  1.8081
 19.6724	131.4833	  9.9644	119.0125	  1.8084
 19.6460	131.5875	  9.9597	118.5792	  1.8086
 19.6441	131.1375	  9.9524	118.3208	  1.8085
 19.6727	131.1958	  9.9516	118.1542	  1.8079
 19.6707	131.2417	  9.9352	118.5625	  1.8086
 19.6743	131.4125	  9.9395	118.3250	  1.8084
 19.6537	131.4000	  9.9576	118.2292	  1.8081
 19.6629	131.6083	  9.9541	118.5958	  1.8082
 19.6424	131.1042	  9.9612	118.6750	  1.8081
 19.6626	131.4458	  9.9530	118.3875	  1.8080
 19.6749	131.5958	  9.9559	118.0917	  1.8089
 19.6660	131.6417	  9.9597	118.8875	  1.8090
 19.6662	131.2458	  9.9653	117.8500	  1.8088
 19.6722	131.4833	  9.9591	118.1167	  1.8086
 19.6709	131.6375	  9.9675	119.0167	  1.8080
 19.6454	130.9125	  9.9506	119.0708	  1.8084
 19.6559	131.4208	  9.9602	118.3625	  1.8087
 19.6590	131.6458	  9.9540	118.2542	  1.8086
 19.6644	131.1042	  9.9441	118.8708	  1.8089
 19.6644	131.1000	  9.9565	118.6333	  1.8088
 19.6713	131.4542	  9.9511	118.0917	  1.8084
 19.6560	131.0917	  9.9458	118.3042	  1.8087
 19.6620	130.8125	  9.9604	118.4250	  1.8085
 19.6483	130.9667	  9.9671	118.8125	  1.8084
 19.6596	131.3375	  9.9620	118.2625	  1.8084
 19.6639	131.6083	  9.9593	119.1708	  1.8082
 19.6623	130.9542	  9.9521	117.9333	  1.8084
 19.6670	131.1042	  9.9655	118.6125	  1.8086
 19.6574	131.0917	  9.9389	117.6333	  1.8079
 19.6385	131.6042	  9.9448	118.7667	  1.8084
 19.6565	131.4542	  9.9524	117.9792	  1.8085
